domain,code,context
gmail.com,421,"4.7.0 [x.xx.xx.xx] Our system has detected that this message is suspicious due to the nature of the content and/or the links within. To best protect our users from spam, the message has been blocked. Please visit https://support.google.com/mail/answer/188131 for more information. - gsmtp"
gmail.com,421,"4.7.0 [x.xx.xx.xx] Our system has detected that this message is suspicious due to the very low reputation of the sending domain. To best protect our users from spam, the message has been blocked. Please visit https://support.google.com/mail/answer/188131 for more information. - gsmtp"
gmail.com,421,"4.7.28 [x.xx.xx.xx] Our system has detected an unusual rate of unsolicited mail originating from your IP address. To protect our users from spam, mail sent from your IP address has been temporarily rate limited. Please visit https://support.google.com/mail/?p=UnsolicitedRateLimitError to review our Bulk Email Senders Guidelines. - gsmtp"
gmail.com,450,"4.2.1 The user you are trying to contact is receiving mail at a rate that prevents additional messages from being delivered. Please resend your message at a later time. If the user is able to receive mail at that time, your message will be delivered. For more information, please visit https://support.google.com/mail/?p=ReceivingRate - gsmtp"
gmail.com,451,4.3.0 Mail server temporarily rejected message. - gsmtp
gmail.com,452,4.2.2 The email account that you tried to reach is over quota. Please direct the recipient to https://support.google.com/mail/?p=OverQuotaTemp - gsmtp
gmail.com,550,5.1.1 The email account that you tried to reach does not exist. Please try double-checking the recipient's email address for typos or unnecessary spaces. Learn more at https://support.google.com/mail/?p=NoSuchUser - gsmtp
gmail.com,550,5.2.1 The email account that you tried to reach is disabled. 4si211252vws.10
gmail.com,550,5.2.1 The email account that you tried to reach is disabled. Learn more at https://support.google.com/mail/?p=DisabledUser - gsmtp
gmail.com,550,"5.2.1 The user you are trying to contact is receiving mail at a rate that prevents additional messages from being delivered. For more information, please visit https://support.google.com/mail/?p=ReceivingRatePerm - gsmtp"
gmail.com,550,"5.7.1 [x.xx.xx.xx 14] Messages missing a valid address in From: header, or having no From: header, are not accepted. - gsmtp"
gmail.com,550,"5.7.1 [x.xx.xx.xx] Our system has detected that this message is likely suspicious due to the very low reputation of the sending domain. To best protect our users from spam, the message has been blocked. Please visit https://support.google.com/mail/answer/188131 for more information. - gsmtp"
gmail.com,550,"5.7.1 [x.xx.xx.xx] Our system has detected that this message is likely unsolicited mail. To reduce the amount of spam sent to Gmail, this message has been blocked. Please visit https://support.google.com/mail/?p=UnsolicitedMessageError for more information. - gsmtp"
gmail.com,550,5.7.1 Unauthenticated email from example.com is not accepted due to domain's DMARC policy. Please contact the administrator of example.com domain if this was a legitimate mail. Please visit https://support.google.com/mail/answer/2451690 to learn about the DMARC initiative. - gsmtp
gmail.com,552,5.2.2 The email account that you tried to reach is over quota. Please direct the recipient to https://support.google.com/mail/?p=OverQuotaPerm - gsmtp
gmail.com,552,5.2.3 Your message exceeded Google's message size limits. Please visit http://mail.google.com/support/bin/answer.py?answer=8770 to review our size guidelines.
gmail.com,552,5.7.0 Our system detected an illegal attachment on your message. Please visit http://mail.google.com/support/bin/answer.py?answer=6590 to review our attachment guidelines.
gmail.com,553,5.1.2 The recipient address <example@example.com> is not a valid RFC-5321 address. - gsmtp
gmail.com,421-4.7.0 [100.100.100.100] Our system has detected an unusual amount of\r\n421-4.7.0 unsolicited mail originating from your IP address. To protect our\r\n421-4.7.0 users from spam,"mail sent from your IP address has been temporarily\r\n421-4.7.0 blocked. Please visit http://www.google.com/mail/help/bulk_mail.html\r\n421,4.7.0 to review our Bulk Email Senders Guidelines. 39si2626666ywh.98"
gmail.com,550-5.1.1 The email account that you tried to reach does not exist. Please\r\n550-5.1.1 try double-checking the recipient's email address for typos\r\n550-5.1.1 or unnecessary spaces. Learn more at                     \r\n550,5.1.1 http://mail.google.com/support/bin/answer.py?answer=6596 b11si4410389ana.36
gmail.com,554,5.4.7 [internal] exceeded max time without delivery
